seed,system,step,corrections,buffer_size,init_secs,pred_secs,correct_secs,acc_novel,acc_original
0,bounded_substrate_fifo_1000,200,41,1000,0.0035,0.1535,0.0045,0.905,0.1375
0,bounded_substrate_fifo_1000,250,47,1000,0.0035,0.183,0.0055,0.925,0.1375
0,bounded_substrate_fifo_1000,300,51,1000,0.0035,0.2025,0.006,0.925,0.1375
0,bounded_substrate_fifo_1000,350,56,1000,0.0035,0.2266,0.0065,0.9375,0.12
0,bounded_substrate_fifo_1000,400,61,1000,0.0035,0.2496,0.007,0.9375,0.12
0,bounded_substrate_fifo_1000,450,62,1000,0.0035,0.2601,0.007,0.9375,0.12
0,bounded_substrate_fifo_1000,500,65,1000,0.0035,0.2731,0.008,0.9475,0.12
0,bounded_substrate_fifo_1000,550,67,1000,0.0035,0.2896,0.008,0.95,0.12
0,bounded_substrate_fifo_1000,600,70,1000,0.0035,0.3086,0.008,0.9475,0.12
0,bounded_substrate_fifo_1000,650,77,1000,0.0035,0.3381,0.0085,0.95,0.12
0,bounded_substrate_fifo_1000,700,81,1000,0.0035,0.3576,0.009,0.9525,0.12
0,bounded_substrate_fifo_1000,750,82,1000,0.0035,0.3666,0.009,0.9525,0.12
0,bounded_substrate_fifo_1000,800,84,1000,0.0035,0.3806,0.009,0.95,0.12
0,bounded_substrate_fifo_1000,850,84,1000,0.0035,0.3866,0.009,0.95,0.12
0,bounded_substrate_fifo_1000,900,85,1000,0.0035,0.3966,0.0095,0.955,0.12
0,bounded_substrate_fifo_1000,950,86,1000,0.0035,0.4061,0.01,0.9575,0.12
0,bounded_substrate_fifo_1000,1000,87,1000,0.0035,0.4176,0.01,0.96,0.12
0,bounded_substrate_fifo_1000,1050,91,1000,0.0035,0.4356,0.011,0.9625,0.12
0,bounded_substrate_fifo_1000,1100,92,1000,0.0035,0.4451,0.011,0.9625,0.12
0,bounded_substrate_fifo_1000,1150,92,1000,0.0035,0.4511,0.011,0.9625,0.12
0,bounded_substrate_fifo_1000,1195,93,1000,0.0035,0.4566,0.0115,0.9625,0.12
0,bounded_substrate_reservoir_5000,0,0,5000,0.0065,0.0,0.0,0.0,0.9425
0,bounded_substrate_reservoir_5000,50,40,5000,0.0065,0.6273,0.027,0.4925,0.9425
0,bounded_substrate_reservoir_5000,100,62,5000,0.0065,0.9773,0.0395,0.61,0.9425
0,bounded_substrate_reservoir_5000,150,81,5000,0.0065,1.2874,0.0515,0.665,0.9425
0,bounded_substrate_reservoir_5000,200,98,5000,0.0065,1.5645,0.0626,0.725,0.9425
0,bounded_substrate_reservoir_5000,250,109,5000,0.0065,1.75,0.0711,0.7625,0.9425
0,bounded_substrate_reservoir_5000,300,121,5000,0.0065,1.9496,0.0786,0.79,0.9425
0,bounded_substrate_reservoir_5000,350,130,5000,0.0065,2.1151,0.0856,0.815,0.9425
0,bounded_substrate_reservoir_5000,400,139,5000,0.0065,2.2707,0.0911,0.8275,0.9425
0,bounded_substrate_reservoir_5000,450,146,5000,0.0065,2.3807,0.0961,0.8425,0.9425
